NMEA-0183,EngineSpeed(rpm),Deviation(cm),FuelGauge(%)
"$GNGST,032431.00,1.17,1.77,1.28,176.1949,1.771,1.281,3.513*48$AGRICA,55,GPS,FINE,2373,12289000,0,0,18,39;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4516,-3582.3003,-68.0985,0.0109,0.0078,0.0217,341.3228,2.1164,0.0000,0.009,0.002,-0.002,-0.008,0.121,0.153,0.127,37.27033918039,126.99072241109,31.9486,-3057721.4550,4059100.7666,3841344.8205,1.7709,1.2810,3.5131,2.2208,2.7548,2.1442,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289000,0.000,320.095093,23.290197,0.000000,0.000000,0,0,0,0*31769c29$GNGGA,032431.10,3716.22035084,N,12659.44334429,E,1,28,0.6,31.9475,M,23.2902,M,,*46$GNGST,032431.10,1.17,1.77,1.28,176.1982,1.772,1.281,3.514*4A$AGRICA,55,GPS,FINE,2373,12289100,0,0,18,31;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4515,-3582.3008,-68.0996,0.0109,0.0078,0.0217,341.1554,2.2997,0.0000,0.008,0.001,0.001,-0.008,0.121,0.153,0.127,37.27033918073,126.99072240475,31.9475,-3057721.4540,4059100.7662,3841344.8198,1.7716,1.2812,3.5138,2.2214,2.7555,2.1445,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289100,0.000,40.091141,23.290197,0.000000,0.000000,0,0,0,0*5eb931f5",2557,6.03,99.76
"$GNGGA,032431.20,3716.22035083,N,12659.44334409,E,1,28,0.6,31.9465,M,23.2902,M,,*41$GNGST,032431.20,1.17,1.77,1.28,176.2186,1.772,1.281,3.514*46$AGRICA,55,GPS,FINE,2373,12289200,0,0,18,31;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4516,-3582.3010,-68.1006,0.0109,0.0078,0.0217,341.1559,2.1858,0.0000,0.011,0.004,0.000,-0.010,0.121,0.153,0.127,37.27033918045,126.99072240144,31.9465,-3057721.4533,4059100.7657,3841344.8192,1.7718,1.2814,3.5141,2.2214,2.7560,2.1447,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289200,0.000,2.254385,23.290197,0.000000,0.000000,0,0,0,0*9ddc1a23$GNGGA,032431.30,3716.22035097,N,12659.44334383,E,1,28,0.6,31.9453,M,23.2902,M,,*45$GNGST,032431.30,1.17,1.77,1.28,176.2232,1.772,1.281,3.514*4B$AGRICA,51,GPS,FINE,2373,12289300,0,0,18,31;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4513,-3582.3015,-68.1018,0.0109,0.0078,0.0217,341.2772,1.8434,0.0000,0.009,0.001,0.000,-0.009,0.121,0.153,0.127,37.27033918289,126.99072239715,31.9453,-3057721.4524,4059100.7651,3841344.8187,1.7718,1.2815,3.5140,2.2213,2.7560,2.1447,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289300,0.000,356.857971,23.290197,0.000000,0.000000,0,0,0,0*3486f22d",2566,5.56,99.73
"$GNGGA,032431.40,3716.22035093,N,12659.44334356,E,1,28,0.6,31.9443,M,23.2902,M,,*4F$GNGST,032431.40,1.17,1.77,1.28,176.2008,1.771,1.281,3.514*44$AGRICA,51,GPS,FINE,2373,12289400,0,0,18,30;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4514,-3582.3018,-68.1029,0.0109,0.0078,0.0217,341.2967,2.1208,0.0000,0.006,-0.001,0.000,-0.006,0.121,0.153,0.127,37.27033918224,126.99072239268,31.9443,-3057721.4516,4059100.7647,3841344.8180,1.7715,1.2814,3.5139,2.2214,2.7556,2.1448,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289400,0.000,176.108643,23.290197,0.000000,0.000000,0,0,0,0*e60d57fa$GNGGA,032431.50,3716.22035076,N,12659.44334331,E,1,28,0.6,31.9436,M,23.2902,M,,*46",2574,5.25,99.71
"$GNGST,032431.50,1.17,1.77,1.28,176.1957,1.771,1.282,3.514*46$AGRICA,51,GPS,FINE,2373,12289500,0,0,18,30;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4517,-3582.3022,-68.1035,0.0109,0.0078,0.0217,341.0785,2.2486,0.0000,0.006,0.000,0.006,0.001,0.121,0.153,0.127,37.27033917935,126.99072238846,31.9436,-3057721.4511,4059100.7646,3841344.8173,1.7711,1.2815,3.5140,2.2215,2.7553,2.1449,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289500,0.000,89.416046,23.290197,0.000000,0.000000,0,0,0,0*bed31613$GNGGA,032431.60,3716.22035066,N,12659.44334342,E,1,28,0.6,31.9436,M,23.2902,M,,*40$GNGST,032431.60,1.17,1.77,1.28,176.1951,1.771,1.282,3.514*43$AGRICA,51,GPS,FINE,2373,12289600,0,0,18,30;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4519,-3582.3020,-68.1035,0.0109,0.0078,0.0217,341.2816,2.3322,0.0000,0.005,-0.001,0.002,0.005,0.121,0.153,0.127,37.27033917770,126.99072239028,31.9436,-3057721.4513,4059100.7646,3841344.8172,1.7711,1.2815,3.5143,2.2216,2.7555,2.1450,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289600,0.000,125.815788,23.290197,0.000000,0.000000,0,0,0,0*986a50a5",2577,4.76,99.68
"$GNGGA,032431.70,3716.22035049,N,12659.44334330,E,1,28,0.6,31.9439,M,23.2902,M,,*46$GNGST,032431.70,1.17,1.77,1.28,176.2235,1.771,1.282,3.515*49$AGRICA,51,GPS,FINE,2373,12289700,0,0,18,30;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4522,-3582.3022,-68.1032,0.0109,0.0078,0.0217,341.0889,2.2000,0.0000,0.005,-0.004,0.003,-0.002,0.121,0.153,0.127,37.27033917480,126.99072238829,31.9439,-3057721.4514,4059100.7651,3841344.8172,1.7712,1.2816,3.5152,2.2220,2.7563,2.1451,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289700,0.000,144.722488,23.290197,0.000000,0.000000,0,0,0,0*fd106b20$GNGGA,032431.80,3716.22035018,N,12659.44334323,E,1,28,0.6,31.9437,M,23.2902,M,,*41$GNGST,032431.80,1.17,1.77,1.28,176.2176,1.771,1.281,3.516*42$AGRICA,51,GPS,FINE,2373,12289800,0,0,18,30;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4528,-3582.3022,-68.1035,0.0109,0.0078,0.0217,341.1628,2.1608,0.0000,0.008,-0.003,0.005,-0.006,0.121,0.153,0.127,37.27033916964,126.99072238714,31.9437,-3057721.4514,4059100.7653,3841344.8165,1.7712,1.2815,3.5156,2.2224,2.7564,2.1452,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289800,0.000,118.528503,23.290197,0.000000,0.000000,0,0,0,0*93de3a4d",2583,4.33,99.66
"$GNGGA,032431.90,3716.22034993,N,12659.44334332,E,1,28,0.6,31.9430,M,23.2902,M,,*4C$GNGST,032431.90,1.17,1.77,1.28,176.2349,1.771,1.282,3.517*4F$AGRICA,51,GPS,FINE,2373,12289900,0,0,18,30;GNSS,232,25,6,29,3,24,31,1,4,11,17,0,-699.4532,-3582.3022,-68.1041,0.0109,0.0078,0.0217,341.1950,2.1705,0.0000,0.003,-0.001,0.003,-0.001,0.121,0.153,0.127,37.27033916542,126.99072238862,31.9430,-3057721.4513,4059100.7650,3841344.8157,1.7708,1.2817,3.5173,2.2232,2.7576,2.1455,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12289900,0.000,107.827057,23.290197,0.000000,0.000000,0,0,0,0*ad02a33d$GNGGA,032432.00,3716.22034977,N,12659.44334326,E,1,28,0.6,31.9428,M,23.2902,M,,*40$GNGST,032432.00,1.17,1.77,1.28,176.2229,1.771,1.282,3.518*4D$AGRICA,51,GPS,FINE,2373,12290000,0,0,18,39;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4536,-3582.3022,-68.1044,0.0109,0.0078,0.0217,341.1524,2.4140,0.0000,0.004,0.001,0.002,-0.003,0.121,0.153,0.127,37.27033916279,126.99072238761,31.9428,-3057721.4513,4059100.7650,3841344.8154,1.7707,1.2818,3.5178,2.2235,2.7577,2.1457,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290000,0.000,65.633751,23.290197,0.000000,0.000000,0,0,0,0*cf119b7e",2591,4.1,99.64
"$GNGGA,032432.10,3716.22034969,N,12659.44334312,E,1,28,0.6,31.9424,M,23.2902,M,,*45$GNGST,032432.10,1.17,1.77,1.28,176.3033,1.770,1.282,3.517*4A$AGRICA,51,GPS,FINE,2373,12290100,0,0,18,31;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4537,-3582.3025,-68.1048,0.0109,0.0078,0.0217,341.1507,1.9560,0.0000,0.006,-0.003,0.003,-0.004,0.121,0.153,0.127,37.27033916148,126.99072238536,31.9424,-3057721.4510,4059100.7650,3841344.8150,1.7696,1.2820,3.5172,2.2226,2.7576,2.1453,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290100,0.000,137.769974,23.290197,0.000000,0.000000,0,0,0,0*a884e7c5$GNGGA,032432.20,3716.22034941,N,12659.44334304,E,1,28,0.6,31.9420,M,23.2902,M,,*4F$GNGST,032432.20,1.17,1.77,1.28,176.3199,1.769,1.282,3.517*40$AGRICA,51,GPS,FINE,2373,12290200,0,0,18,31;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4542,-3582.3027,-68.1051,0.0109,0.0078,0.0217,341.1003,2.2262,0.0000,0.001,0.001,0.000,0.001,0.121,0.153,0.127,37.27033915685,126.99072238407,31.9420,-3057721.4509,4059100.7651,3841344.8144,1.7695,1.2822,3.5169,2.2221,2.7576,2.1451,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290200,0.000,21.922514,23.290197,0.000000,0.000000,0,0,0,0*6a3e6604",2591,3.9,99.61
"$GNGGA,032432.30,3716.22034933,N,12659.44334282,E,1,28,0.6,31.9421,M,23.2902,M,,*45$GNGST,032432.30,1.17,1.77,1.28,176.3234,1.769,1.282,3.517*45$AGRICA,51,GPS,FINE,2373,12290300,0,0,18,31;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4543,-3582.3030,-68.1050,0.0109,0.0078,0.0217,341.2402,1.4784,0.0000,0.005,-0.001,-0.002,0.004,0.121,0.153,0.127,37.27033915542,126.99072238029,31.9421,-3057721.4507,4059100.7654,3841344.8143,1.7695,1.2822,3.5166,2.2221,2.7574,2.1449,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290300,0.000,231.112061,23.290197,0.000000,0.000000,0,0,0,0*7ed194dc$GNGGA,032432.40,3716.22034912,N,12659.44334246,E,1,28,0.6,31.9424,M,23.2902,M,,*4C$GNGST,032432.40,1.17,1.77,1.28,176.3470,1.769,1.282,3.516*45$AGRICA,51,GPS,FINE,2373,12290400,0,0,18,31;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4547,-3582.3035,-68.1047,0.0109,0.0078,0.0217,341.0460,1.4931,0.0000,0.006,-0.002,-0.005,-0.003,0.121,0.153,0.127,37.27033915208,126.99072237436,31.9424,-3057721.4506,4059100.7661,3841344.8142,1.7691,1.2822,3.5162,2.2215,2.7572,2.1447,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290400,0.000,246.925613,23.290197,0.000000,0.000000,0,0,0,0*ea0b1f41",2599,3.64,99.59
"$GNGGA,032432.50,3716.22034890,N,12659.44334192,E,1,28,0.6,31.9420,M,23.2902,M,,*48$GNGST,032432.50,1.17,1.77,1.28,176.3709,1.769,1.282,3.516*49$AGRICA,51,GPS,FINE,2373,12290500,0,0,18,30;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4551,-3582.3042,-68.1051,0.0109,0.0078,0.0217,341.0777,1.5881,0.0000,0.006,-0.001,-0.004,-0.005,0.121,0.153,0.127,37.27033914835,126.99072236526,31.9420,-3057721.4499,4059100.7665,3841344.8136,1.7688,1.2822,3.5159,2.2211,2.7572,2.1444,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290500,0.000,256.072571,23.290197,0.000000,0.000000,0,0,0,0*946924e3$GNGGA,032432.60,3716.22034873,N,12659.44334140,E,1,28,0.6,31.9415,M,23.2902,M,,*4F$GNGST,032432.60,1.17,1.77,1.28,176.3725,1.768,1.282,3.516*45$AGRICA,51,GPS,FINE,2373,12290600,0,0,18,30;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4554,-3582.3049,-68.1056,0.0109,0.0078,0.0217,341.3119,1.8043,0.0000,0.005,0.002,-0.003,-0.003,0.121,0.153,0.127,37.27033914544,126.99072235671,31.9415,-3057721.4492,4059100.7668,3841344.8131,1.7684,1.2821,3.5158,2.2209,2.7571,2.1443,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290600,0.000,301.592773,23.290197,0.000000,0.000000,0,0,0,0*60cc54c7",2606,3.18,99.56
"$GNGGA,032432.70,3716.22034870,N,12659.44334096,E,1,28,0.6,31.9412,M,23.2902,M,,*40$GNGST,032432.70,1.17,1.77,1.28,176.4192,1.768,1.282,3.515*4A$AGRICA,51,GPS,FINE,2373,12290700,0,0,18,30;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4555,-3582.3057,-68.1059,0.0109,0.0078,0.0217,341.1833,2.2355,0.0000,0.004,-0.004,0.002,0.000,0.121,0.153,0.127,37.27033914495,126.99072234938,31.9412,-3057721.4485,4059100.7671,3841344.8129,1.7679,1.2821,3.5152,2.2201,2.7569,2.1439,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290700,0.000,150.706100,23.290197,0.000000,0.000000,0,0,0,0*1984dc11$GNGGA,032432.80,3716.22034836,N,12659.44334087,E,1,28,0.6,31.9413,M,23.2902,M,,*4C$GNGST,032432.80,1.17,1.77,1.28,176.3969,1.768,1.282,3.515*4E$AGRICA,51,GPS,FINE,2373,12290800,0,0,18,30;GNSS,232,25,6,29,3,24,32,1,4,11,17,0,-699.4561,-3582.3059,-68.1058,0.0109,0.0078,0.0217,341.3517,1.9675,0.0000,0.005,-0.005,0.001,-0.001,0.121,0.153,0.127,37.27033913941,126.99072234791,31.9413,-3057721.4487,4059100.7675,3841344.8124,1.7681,1.2817,3.5147,2.2197,2.7568,2.1435,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12290800,0.000,165.373840,23.290197,0.000000,0.000000,0,0,0,0*c331714f",2607,2.81,99.54
