NMEA-0183,EngineSpeed(rpm),Deviation(cm),FuelGauge(%)
"$GNGGA,032449.10,3716.22031843,N,12659.44334426,E,1,28,0.6,31.9044,M,23.2902,M,,*47$GNGST,032449.10,1.17,1.76,1.28,176.1170,1.761,1.281,3.515*42$AGRICA,46,GPS,FINE,2373,12307100,0,0,18,31;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5115,-3582.3008,-68.1427,0.0109,0.0078,0.0217,341.2454,2.0361,0.0000,0.011,0.003,0.003,-0.011,0.122,0.153,0.127,37.27033864050,126.99072240440,31.9044,-3057721.4552,4059100.7678,3841344.7460,1.7611,1.2805,3.5154,2.2242,2.7483,2.1445,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307100,0.000,45.994110,23.290197,0.000000,0.000000,0,0,0,0*c86f4132$GNGGA,032449.20,3716.22031846,N,12659.44334448,E,1,28,0.6,31.9039,M,23.2902,M,,*43$GNGST,032449.20,1.17,1.76,1.28,176.1497,1.761,1.281,3.518*40$AGRICA,46,GPS,FINE,2373,12307200,0,0,18,31;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5115,-3582.3005,-68.1432,0.0109,0.0078,0.0217,341.0255,1.9911,0.0000,0.010,0.004,0.001,-0.008,0.122,0.153,0.127,37.27033864093,126.99072240795,31.9039,-3057721.4552,4059100.7673,3841344.7458,1.7608,1.2810,3.5179,2.2255,2.7502,2.1449,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307200,0.000,11.791006,23.290197,0.000000,0.000000,0,0,0,0*8aa722df",2928,7.68,97.18
"$GNGGA,032449.30,3716.22031855,N,12659.44334454,E,1,28,0.6,31.9035,M,23.2902,M,,*41$GNGST,032449.30,1.17,1.76,1.28,176.2054,1.760,1.281,3.518*48$AGRICA,46,GPS,FINE,2373,12307300,0,0,18,31;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5113,-3582.3003,-68.1436,0.0109,0.0078,0.0217,341.1197,1.9826,0.0000,0.010,0.002,0.001,-0.009,0.122,0.153,0.127,37.27033864247,126.99072240904,31.9035,-3057721.4551,4059100.7669,3841344.7457,1.7602,1.2809,3.5180,2.2253,2.7504,2.1443,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307300,0.000,33.373688,23.290197,0.000000,0.000000,0,0,0,0*4ce442e0$GNGGA,032449.40,3716.22031851,N,12659.44334463,E,1,28,0.6,31.9030,M,23.2902,M,,*43$GNGST,032449.40,1.17,1.76,1.28,176.2232,1.760,1.281,3.518*4D$AGRICA,46,GPS,FINE,2373,12307400,0,0,18,30;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5114,-3582.3003,-68.1441,0.0109,0.0078,0.0217,341.0679,1.9366,0.0000,0.014,-0.002,0.004,-0.013,0.122,0.153,0.127,37.27033864184,126.99072241055,31.9030,-3057721.4549,4059100.7665,3841344.7453,1.7600,1.2810,3.5178,2.2252,2.7503,2.1442,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307400,0.000,116.189102,23.290197,0.000000,0.000000,0,0,0,0*5df7dacb",2925,7.19,97.16
"$GNGGA,032449.50,3716.22031825,N,12659.44334494,E,1,28,0.6,31.9021,M,23.2902,M,,*49$GNGST,032449.50,1.17,1.76,1.28,176.2264,1.759,1.281,3.518*45$AGRICA,44,GPS,FINE,2373,12307500,0,0,18,30;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5118,-3582.2998,-68.1451,0.0109,0.0078,0.0217,341.2164,1.6142,0.0000,0.011,-0.003,0.003,-0.011,0.122,0.153,0.127,37.27033863753,126.99072241575,31.9021,-3057721.4550,4059100.7659,3841344.7443,1.7595,1.2809,3.5179,2.2254,2.7500,2.1440,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307500,0.000,131.629440,23.290197,0.000000,0.000000,0,0,0,0*f4feabf8$GNGGA,032449.60,3716.22031797,N,12659.44334516,E,1,28,0.6,31.9015,M,23.2902,M,,*40$GNGST,032449.60,1.17,1.76,1.28,176.2274,1.760,1.281,3.517*42$AGRICA,44,GPS,FINE,2373,12307600,0,0,18,30;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5124,-3582.2996,-68.1456,0.0109,0.0078,0.0217,341.1696,1.9811,0.0000,0.004,-0.002,0.001,0.003,0.122,0.153,0.127,37.27033863281,126.99072241927,31.9015,-3057721.4552,4059100.7656,3841344.7436,1.7597,1.2809,3.5172,2.2249,2.7498,2.1440,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307600,0.000,152.218689,23.290197,0.000000,0.000000,0,0,0,0*05d475b2",2917,6.71,97.13
"$GNGGA,032449.70,3716.22031771,N,12659.44334523,E,1,28,0.6,31.9023,M,23.2902,M,,*4A$GNGST,032449.70,1.17,1.76,1.28,176.2448,1.759,1.281,3.518*4F$AGRICA,44,GPS,FINE,2373,12307700,0,0,18,30;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5128,-3582.2993,-68.1449,0.0109,0.0078,0.0217,341.2495,1.5659,0.0000,0.013,-0.003,-0.004,0.012,0.122,0.153,0.127,37.27033862847,126.99072242053,31.9023,-3057721.4558,4059100.7662,3841344.7437,1.7590,1.2807,3.5180,2.2252,2.7502,2.1438,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307700,0.000,233.361862,23.290197,0.000000,0.000000,0,0,0,0*ee3e14ca$GNGGA,032449.80,3716.22031742,N,12659.44334500,E,1,28,0.6,31.9039,M,23.2902,M,,*4F$GNGST,032449.80,1.17,1.76,1.28,176.2454,1.759,1.281,3.519*4C$AGRICA,44,GPS,FINE,2373,12307800,0,0,18,30;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5134,-3582.2998,-68.1432,0.0109,0.0078,0.0217,341.1833,1.6795,0.0000,0.004,-0.002,-0.002,-0.003,0.122,0.153,0.127,37.27033862365,126.99072241659,31.9039,-3057721.4565,4059100.7677,3841344.7442,1.7587,1.2807,3.5189,2.2256,2.7507,2.1438,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307800,0.000,223.582489,23.290197,0.000000,0.000000,0,0,0,0*97615466",2909,6.42,97.11
"$GNGGA,032449.90,3716.22031717,N,12659.44334487,E,1,28,0.6,31.9042,M,23.2902,M,,*4C$GNGST,032449.90,1.17,1.76,1.28,176.2757,1.758,1.281,3.519*4C$AGRICA,44,GPS,FINE,2373,12307900,0,0,18,30;GNSS,232,25,6,29,3,24,49,1,4,11,17,0,-699.5139,-3582.2998,-68.1430,0.0109,0.0078,0.0217,341.0475,1.8148,0.0000,0.006,0.000,-0.001,-0.005,0.122,0.153,0.127,37.27033861944,126.99072241452,31.9041,-3057721.4567,4059100.7682,3841344.7440,1.7583,1.2809,3.5188,2.2254,2.7510,2.1434,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12307900,0.000,279.469208,23.290197,0.000000,0.000000,0,0,0,0*3464e78b$GNGGA,032450.00,3716.22031702,N,12659.44334481,E,1,28,0.6,31.9041,M,23.2902,M,,*4C$GNGST,032450.00,1.17,1.76,1.28,176.2776,1.758,1.281,3.519*4E$AGRICA,44,GPS,FINE,2373,12308000,0,0,18,40;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5141,-3582.3000,-68.1430,0.0109,0.0078,0.0217,340.9619,2.0872,0.0000,0.009,-0.002,0.005,-0.007,0.122,0.153,0.127,37.27033861707,126.99072241349,31.9041,-3057721.4567,4059100.7684,3841344.7438,1.7581,1.2809,3.5189,2.2254,2.7510,2.1433,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308000,0.000,106.723534,23.290197,0.000000,0.000000,0,0,0,0*bffb64f0",2900,6.18,97.09
"$GNGGA,032450.10,3716.22031678,N,12659.44334519,E,1,28,0.6,31.9039,M,23.2902,M,,*4E$GNGST,032450.10,1.17,1.76,1.28,176.3082,1.757,1.281,3.520*47$AGRICA,44,GPS,FINE,2373,12308100,0,0,18,31;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5146,-3582.2996,-68.1432,0.0109,0.0078,0.0217,341.0618,1.5662,0.0000,0.009,-0.001,0.007,-0.005,0.122,0.153,0.127,37.27033861307,126.99072241977,31.9039,-3057721.4572,4059100.7681,3841344.7433,1.7570,1.2805,3.5199,2.2257,2.7514,2.1430,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308100,0.000,97.776810,23.290197,0.000000,0.000000,0,0,0,0*0dac2902$GNGGA,032450.20,3716.22031658,N,12659.44334565,E,1,28,0.6,31.9040,M,23.2902,M,,*4A$GNGST,032450.20,1.17,1.76,1.28,176.3058,1.757,1.280,3.520*42$AGRICA,44,GPS,FINE,2373,12308200,0,0,18,31;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5150,-3582.2988,-68.1432,0.0109,0.0078,0.0217,341.2607,1.7043,0.0000,0.007,0.001,0.004,0.005,0.122,0.153,0.127,37.27033860970,126.99072242743,31.9040,-3057721.4579,4059100.7679,3841344.7430,1.7567,1.2803,3.5196,2.2258,2.7511,2.1424,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308200,0.000,75.105553,23.290197,0.000000,0.000000,0,0,0,0*96017c88",2896,5.81,97.06
"$GNGGA,032450.30,3716.22031647,N,12659.44334593,E,1,28,0.6,31.9051,M,23.2902,M,,*4C",2896,5.51,97.04
"$GNGST,032450.30,1.17,1.76,1.28,176.3651,1.755,1.280,3.520*4E$AGRICA,44,GPS,FINE,2373,12308300,0,0,18,31;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5151,-3582.2983,-68.1421,0.0109,0.0078,0.0217,341.2386,2.1259,0.0000,0.004,0.000,-0.002,-0.003,0.122,0.153,0.127,37.27033860781,126.99072243215,31.9051,-3057721.4588,4059100.7685,3841344.7435,1.7547,1.2800,3.5204,2.2256,2.7512,2.1420,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308300,0.000,277.524963,23.290197,0.000000,0.000000,0,0,0,0*b76da567$GNGGA,032450.40,3716.22031631,N,12659.44334583,E,1,28,0.6,31.9052,M,23.2902,M,,*48$GNGST,032450.40,1.17,1.76,1.28,176.3613,1.754,1.280,3.520*4E$AGRICA,44,GPS,FINE,2373,12308400,0,0,18,30;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5154,-3582.2986,-68.1419,0.0109,0.0078,0.0217,341.1222,2.1118,0.0000,0.007,0.002,-0.003,-0.006,0.122,0.153,0.127,37.27033860522,126.99072243047,31.9052,-3057721.4589,4059100.7688,3841344.7434,1.7544,1.2799,3.5198,2.2253,2.7507,2.1417,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308400,0.000,293.797974,23.290197,0.000000,0.000000,0,0,0,0*0a1d7766",2896,5.14,97.01
"$GNGGA,032450.50,3716.22031623,N,12659.44334561,E,1,28,0.6,31.9051,M,23.2902,M,,*45$GNGST,032450.50,1.17,1.76,1.28,176.3610,1.754,1.280,3.519*46$AGRICA,44,GPS,FINE,2373,12308500,0,0,18,30;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5156,-3582.2988,-68.1420,0.0109,0.0078,0.0217,341.2589,1.7259,0.0000,0.005,0.001,-0.002,-0.005,0.122,0.153,0.127,37.27033860386,126.99072242676,31.9051,-3057721.4586,4059100.7690,3841344.7432,1.7545,1.2798,3.5194,2.2250,2.7504,2.1416,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308500,0.000,288.027283,23.290197,0.000000,0.000000,0,0,0,0*70b1ffe6$GNGGA,032450.60,3716.22031610,N,12659.44334546,E,1,28,0.6,31.9052,M,23.2902,M,,*40$GNGST,032450.60,1.17,1.76,1.28,176.3640,1.754,1.280,3.519*40$AGRICA,44,GPS,FINE,2373,12308600,0,0,18,30;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5158,-3582.2991,-68.1419,0.0109,0.0078,0.0217,341.1313,2.0358,0.0000,0.005,-0.005,0.000,0.000,0.122,0.153,0.127,37.27033860169,126.99072242430,31.9052,-3057721.4586,4059100.7693,3841344.7431,1.7539,1.2797,3.5189,2.2246,2.7501,2.1412,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308600,0.000,183.552719,23.290197,0.000000,0.000000,0,0,0,0*323ae370",2892,4.77,96.99
"$GNGGA,032450.70,3716.22031565,N,12659.44334544,E,1,28,0.6,31.9058,M,23.2902,M,,*48$GNGST,032450.70,1.17,1.76,1.28,176.3502,1.754,1.280,3.518*45$AGRICA,44,GPS,FINE,2373,12308700,0,0,18,30;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5167,-3582.2991,-68.1413,0.0109,0.0078,0.0217,341.1846,1.7985,0.0000,0.006,-0.005,0.004,0.001,0.122,0.153,0.127,37.27033859424,126.99072242408,31.9058,-3057721.4592,4059100.7701,3841344.7428,1.7537,1.2796,3.5185,2.2243,2.7497,2.1410,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308700,0.000,143.963898,23.290197,0.000000,0.000000,0,0,0,0*0b5d2337$GNGGA,032450.80,3716.22031521,N,12659.44334571,E,1,28,0.6,31.9065,M,23.2902,M,,*4F$GNGST,032450.80,1.17,1.76,1.28,176.3593,1.753,1.280,3.519*44$AGRICA,44,GPS,FINE,2373,12308800,0,0,18,30;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5175,-3582.2986,-68.1407,0.0109,0.0078,0.0217,341.2531,1.8340,0.0000,0.002,-0.002,0.001,0.000,0.122,0.153,0.127,37.27033858685,126.99072242847,31.9065,-3057721.4601,4059100.7707,3841344.7425,1.7534,1.2801,3.5189,2.2249,2.7496,2.1413,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308800,0.000,156.105728,23.290197,0.000000,0.000000,0,0,0,0*ef5b9701",2890,4.29,96.96
"$GNGGA,032450.90,3716.22031493,N,12659.44334579,E,1,28,0.6,31.9070,M,23.2902,M,,*4A$GNGST,032450.90,1.17,1.75,1.28,176.3740,1.753,1.280,3.519*4A$AGRICA,44,GPS,FINE,2373,12308900,0,0,18,30;GNSS,232,25,6,29,3,24,50,1,4,11,17,0,-699.5180,-3582.2986,-68.1402,0.0109,0.0078,0.0217,341.1989,1.9075,0.0000,0.002,0.002,0.000,0.001,0.122,0.153,0.127,37.27033858216,126.99072242978,31.9070,-3057721.4606,4059100.7712,3841344.7424,1.7533,1.2802,3.5191,2.2249,2.7498,2.1413,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12308900,0.000,347.748871,23.290197,0.000000,0.000000,0,0,0,0*bb0adc20$GNGGA,032451.00,3716.22031487,N,12659.44334578,E,1,28,0.6,31.9075,M,23.2902,M,,*43",2886,4,96.94
"$GNGST,032451.00,1.17,1.75,1.28,176.3731,1.753,1.280,3.519*44$AGRICA,44,GPS,FINE,2373,12309000,0,0,18,40;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5181,-3582.2986,-68.1396,0.0109,0.0078,0.0217,341.2987,1.6236,0.0000,0.003,0.001,-0.003,0.000,0.122,0.153,0.127,37.27033858114,126.99072242960,31.9075,-3057721.4609,4059100.7716,3841344.7427,1.7531,1.2801,3.5191,2.2249,2.7497,2.1413,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309000,0.000,293.973145,23.290197,0.000000,0.000000,0,0,0,0*5b3b7160$GNGGA,032451.10,3716.22031476,N,12659.44334560,E,1,28,0.6,31.9081,M,23.2902,M,,*4E$GNGST,032451.10,1.17,1.75,1.28,176.3572,1.753,1.280,3.519*40$AGRICA,44,GPS,FINE,2373,12309100,0,0,18,31;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5183,-3582.2988,-68.1391,0.0109,0.0078,0.0217,341.2395,1.6810,0.0000,0.004,-0.001,-0.004,0.002,0.122,0.153,0.127,37.27033857941,126.99072242660,31.9081,-3057721.4610,4059100.7722,3841344.7428,1.7528,1.2800,3.5191,2.2250,2.7494,2.1413,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309100,0.000,254.386414,23.290197,0.000000,0.000000,0,0,0,0*77e3b88f",2886,3.78,96.92
"$GNGGA,032451.20,3716.22031454,N,12659.44334536,E,1,28,0.6,31.9088,M,23.2902,M,,*47$GNGST,032451.20,1.17,1.75,1.28,176.3463,1.752,1.280,3.518*42$AGRICA,44,GPS,FINE,2373,12309200,0,0,18,31;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5187,-3582.2993,-68.1383,0.0109,0.0078,0.0217,341.0837,2.1083,0.0000,0.003,0.002,-0.001,0.003,0.122,0.153,0.127,37.27033857562,126.99072242266,31.9088,-3057721.4612,4059100.7731,3841344.7429,1.7524,1.2799,3.5183,2.2247,2.7486,2.1409,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309200,0.000,328.425507,23.290197,0.000000,0.000000,0,0,0,0*e169747d$GNGGA,032451.30,3716.22031446,N,12659.44334531,E,1,28,0.6,31.9096,M,23.2902,M,,*4D$GNGST,032451.30,1.17,1.75,1.28,176.3525,1.752,1.280,3.519*41$AGRICA,44,GPS,FINE,2373,12309300,0,0,18,31;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5189,-3582.2993,-68.1375,0.0109,0.0078,0.0217,341.0049,1.9393,0.0000,0.002,-0.002,0.000,0.000,0.122,0.153,0.127,37.27033857431,126.99072242188,31.9096,-3057721.4616,4059100.7737,3841344.7433,1.7524,1.2799,3.5186,2.2248,2.7489,2.1409,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309300,0.000,178.432968,23.290197,0.000000,0.000000,0,0,0,0*e6e90723",2882,3.34,96.89
"$GNGGA,032451.40,3716.22031416,N,12659.44334535,E,1,28,0.6,31.9100,M,23.2902,M,,*45$GNGST,032451.40,1.17,1.75,1.28,176.3407,1.752,1.280,3.518*46$AGRICA,44,GPS,FINE,2373,12309400,0,0,18,31;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5194,-3582.2993,-68.1371,0.0109,0.0078,0.0217,341.0403,2.0654,0.0000,0.007,-0.004,0.000,-0.006,0.122,0.153,0.127,37.27033856925,126.99072242251,31.9100,-3057721.4621,4059100.7742,3841344.7431,1.7517,1.2797,3.5180,2.2245,2.7481,2.1406,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309400,0.000,173.893143,23.290197,0.000000,0.000000,0,0,0,0*d3db41d6$GNGGA,032451.50,3716.22031376,N,12659.44334541,E,1,28,0.6,31.9099,M,23.2902,M,,*47",2877,2.98,96.87
"$GNGST,032451.50,1.17,1.75,1.28,176.3438,1.752,1.280,3.519*4A$AGRICA,44,GPS,FINE,2373,12309500,0,0,18,30;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5201,-3582.2991,-68.1372,0.0109,0.0078,0.0217,340.9876,1.8198,0.0000,0.005,0.000,-0.002,-0.004,0.122,0.153,0.127,37.27033856273,126.99072242354,31.9099,-3057721.4624,4059100.7745,3841344.7425,1.7517,1.2799,3.5189,2.2252,2.7488,2.1406,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309500,0.000,266.444885,23.290197,0.000000,0.000000,0,0,0,0*f7c619b2$GNGGA,032451.60,3716.22031359,N,12659.44334531,E,1,28,0.6,31.9101,M,23.2902,M,,*4E$GNGST,032451.60,1.17,1.75,1.28,176.3156,1.752,1.280,3.519*44$AGRICA,44,GPS,FINE,2373,12309600,0,0,18,30;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5204,-3582.2993,-68.1370,0.0109,0.0078,0.0217,341.1453,1.8361,0.0000,0.003,0.000,-0.003,-0.001,0.122,0.153,0.127,37.27033855976,126.99072242185,31.9101,-3057721.4624,4059100.7748,3841344.7423,1.7520,1.2800,3.5191,2.2256,2.7488,2.1407,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309600,0.000,273.397430,23.290197,0.000000,0.000000,0,0,0,0*833c3263",2870,2.5,96.84
"$GNGGA,032451.70,3716.22031342,N,12659.44334512,E,1,28,0.6,31.9106,M,23.2902,M,,*43$GNGST,032451.70,1.17,1.75,1.28,176.3215,1.751,1.280,3.519*42$AGRICA,44,GPS,FINE,2373,12309700,0,0,18,30;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5208,-3582.2996,-68.1365,0.0109,0.0078,0.0217,341.0371,2.2735,0.0000,0.006,0.001,0.001,-0.005,0.122,0.153,0.127,37.27033855702,126.99072241870,31.9106,-3057721.4626,4059100.7755,3841344.7424,1.7514,1.2799,3.5190,2.2256,2.7484,2.1406,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309700,0.000,66.386871,23.290197,0.000000,0.000000,0,0,0,0*7b295b4f$GNGGA,032451.80,3716.22031328,N,12659.44334523,E,1,28,0.6,31.9107,M,23.2902,M,,*43$GNGST,032451.80,1.17,1.75,1.28,176.3083,1.751,1.280,3.519*40$AGRICA,44,GPS,FINE,2373,12309800,0,0,18,30;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5211,-3582.2993,-68.1365,0.0109,0.0078,0.0217,340.9683,1.8938,0.0000,0.002,0.000,0.002,0.001,0.122,0.153,0.127,37.27033855468,126.99072242054,31.9107,-3057721.4628,4059100.7755,3841344.7422,1.7510,1.2799,3.5187,2.2256,2.7478,2.1405,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309800,0.000,100.293571,23.290197,0.000000,0.000000,0,0,0,0*c4d4f2fc",2861,2.15,96.82
"$GNGGA,032451.90,3716.22031310,N,12659.44334540,E,1,28,0.6,31.9113,M,23.2902,M,,*49$GNGST,032451.90,1.17,1.75,1.28,176.3252,1.751,1.280,3.518*4E$AGRICA,44,GPS,FINE,2373,12309900,0,0,18,30;GNSS,232,25,6,29,3,24,51,1,4,11,17,0,-699.5214,-3582.2991,-68.1359,0.0109,0.0078,0.0217,341.0135,1.6740,0.0000,0.004,-0.001,0.003,-0.001,0.122,0.153,0.127,37.27033855163,126.99072242331,31.9113,-3057721.4634,4059100.7759,3841344.7423,1.7509,1.2799,3.5178,2.2248,2.7473,2.1403,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12309900,0.000,104.208511,23.290197,0.000000,0.000000,0,0,0,0*5fb69c95$GNGGA,032452.00,3716.22031289,N,12659.44334565,E,1,28,0.6,31.9116,M,23.2902,M,,*40$GNGST,032452.00,1.17,1.75,1.28,176.3556,1.750,1.280,3.518*46$AGRICA,44,GPS,FINE,2373,12310000,0,0,18,40;GNSS,232,25,6,29,3,24,52,1,4,11,17,0,-699.5218,-3582.2988,-68.1355,0.0109,0.0078,0.0217,340.9892,1.7675,0.0000,0.008,-0.007,-0.001,-0.003,0.122,0.153,0.127,37.27033854810,126.99072242753,31.9116,-3057721.4640,4059100.7761,3841344.7422,1.7505,1.2798,3.5177,2.2244,2.7475,2.1401,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12310000,0.000,190.733719,23.290197,0.000000,0.000000,0,0,0,0*75170b41",2852,1.8,96.79
"$GNGGA,032452.10,3716.22031231,N,12659.44334559,E,1,28,0.6,31.9119,M,23.2902,M,,*42$GNGST,032452.10,1.17,1.75,1.28,176.3725,1.750,1.280,3.518*41$AGRICA,44,GPS,FINE,2373,12310100,0,0,18,30;GNSS,232,25,6,29,3,24,52,1,4,11,17,0,-699.5228,-3582.2988,-68.1352,0.0109,0.0078,0.0217,341.0002,1.7675,0.0000,0.007,-0.005,-0.001,-0.005,0.122,0.153,0.127,37.27033853848,126.99072242656,31.9119,-3057721.4645,4059100.7769,3841344.7415,1.7499,1.2798,3.5181,2.2245,2.7477,2.1399,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12310100,0.000,191.943985,23.290197,0.000000,0.000000,0,0,0,0*2b73e547$GNGGA,032452.20,3716.22031189,N,12659.44334556,E,1,28,0.6,31.9121,M,23.2902,M,,*45$GNGST,032452.20,1.17,1.75,1.28,176.3562,1.750,1.280,3.519*42$AGRICA,44,GPS,FINE,2373,12310200,0,0,18,31;GNSS,232,25,6,29,3,24,52,1,4,11,17,0,-699.5236,-3582.2988,-68.1351,0.0109,0.0078,0.0217,340.9703,1.6933,0.0000,0.002,-0.001,-0.002,0.000,0.122,0.153,0.127,37.27033853142,126.99072242606,31.9121,-3057721.4648,4059100.7774,3841344.7410,1.7500,1.2798,3.5190,2.2253,2.7481,2.1400,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12310200,0.000,245.036667,23.290197,0.000000,0.000000,0,0,0,0*f8613415",2849,1.54,96.77
"$GNGGA,032452.30,3716.22031166,N,12659.44334545,E,1,28,0.6,31.9126,M,23.2902,M,,*40$GNGST,032452.30,1.17,1.75,1.28,176.3482,1.750,1.280,3.519*4C$AGRICA,44,GPS,FINE,2373,12310300,0,0,18,31;GNSS,232,25,6,29,3,24,52,1,4,11,17,0,-699.5240,-3582.2991,-68.1345,0.0109,0.0078,0.0217,341.0877,1.8753,0.0000,0.006,-0.001,-0.005,-0.003,0.122,0.153,0.127,37.27033852767,126.99072242416,31.9126,-3057721.4651,4059100.7780,3841344.7410,1.7501,1.2796,3.5190,2.2253,2.7481,2.1399,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12310300,0.000,253.179214,23.290197,0.000000,0.000000,0,0,0,0*5a725341$GNGGA,032452.40,3716.22031142,N,12659.44334518,E,1,28,0.6,31.9128,M,23.2902,M,,*47$GNGST,032452.40,1.17,1.75,1.28,176.3496,1.750,1.280,3.519*4E$AGRICA,44,GPS,FINE,2373,12310400,0,0,18,30;GNSS,232,25,6,29,3,24,52,1,4,11,17,0,-699.5245,-3582.2996,-68.1343,0.0109,0.0078,0.0217,341.0340,1.9038,0.0000,0.009,0.000,0.001,-0.009,0.122,0.153,0.127,37.27033852366,126.99072241962,31.9128,-3057721.4650,4059100.7786,3841344.7408,1.7501,1.2796,3.5189,2.2252,2.7481,2.1398,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12310400,0.000,108.502762,23.290197,0.000000,0.000000,0,0,0,0*b5da0b45",2843,1.26,96.75
